publishedTimeText,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths,cleaned_text
1 day ago,arey rakhi k liye forn krdiyaaaa ab daal dena episode jaldddd.,0,@eyeshaww,FALSE,FALSE,FALSE,FALSE,,FALSE,,arey rakhi k liye forn krdiyaaaa ab daal dena episode jaldddd
1 day ago,Mazedaar,0,@kingsclanforlife3317,FALSE,FALSE,FALSE,FALSE,,FALSE,,Mazedaar
1 day ago,Yaar mujhe koi ye batoo iska show Mumbai m kaha hota h ??,0,@shahbazanjum-y6d,FALSE,FALSE,FALSE,FALSE,,FALSE,,Yaar mujhe koi ye batoo iska show Mumbai m kaha hota h
1 day ago,Meri jhante kaat dena 😂 1 no ki line,0,@Ncrnegishorts,FALSE,FALSE,FALSE,FALSE,,FALSE,,Meri jhante kaat dena :facewithtearsofjoy: 1 no ki line
1 day ago,Raghu की halat खराब हो गयी!,0,@thedestroyer003,FALSE,FALSE,FALSE,FALSE,,FALSE,,Raghu की halat खराब हो गयी
1 day ago,Tanmay ko khanna do itna patla why,0,@apeksha5468,FALSE,FALSE,FALSE,FALSE,,FALSE,,Tanmay ko khanna do itna patla why
1 day ago,https://youtube.com/shorts/C6nD5Dgw5ks?si=F1nKtyeU8kTv7SHO,0,@minakshimoral6963,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,मै बहुत प्रॉब्लम हूं प्लीज सपोर्ट कीजिए,0,@10m_subcriber-pragyanpratap,FALSE,FALSE,FALSE,FALSE,,FALSE,,मै बहुत प्रॉब्लम हूं प्लीज सपोर्ट कीजिए
1 day ago,7 million? Are you serious,0,@akhtarabbas5760,FALSE,FALSE,FALSE,FALSE,,FALSE,,7 million Are you serious
1 day ago,I got crazy when samay said 5 oct ku kya kar rahe hai aap that guy Said kuch nahi samay said kya mere jhaante kaatege aap😂,0,@AkashSingh-bm9dj,FALSE,FALSE,FALSE,FALSE,,FALSE,,I got crazy when samay said 5 oct ku kya kar rahe hai aap that guy Said kuch nahi samay said kya mere jhaante kaatege aap:facewithtearsofjoy:
1 day ago,Love u bro,0,@user_bornstoned,FALSE,FALSE,FALSE,FALSE,,FALSE,,Love u bro
1 day ago,Bhai mai bhi,1,@introvert_226,TRUE,FALSE,FALSE,FALSE,,FALSE,,Bhai mai bhi
1 day ago,First time sahi bsnde jite hai,0,@SalmanKhan-l4h4v,FALSE,FALSE,FALSE,FALSE,,FALSE,,First time sahi bsnde jite hai
1 day ago,"08:42 Himalaya, him + aalaya se bana hai matlab him (barf) ka aalaya (niwas/ghar) (e.g. karyalaya). Malay means Chandan in Hindi maybe it means mountains in some other language but definitely he used wrong analogy.",0,@swetank7,FALSE,FALSE,FALSE,FALSE,,FALSE,,08:42 Himalaya him aalaya se bana hai matlab him barf ka aalaya niwasghar eg karyalaya Malay means Chandan in Hindi maybe it means mountains in some other language but definitely he used wrong analogy
1 day ago,Raghu sirr killledddd itt mannnn!!!!!!...Best one till noww...laughedd alotttt!!❤,0,@Niddhi_Dubey,FALSE,FALSE,FALSE,FALSE,,FALSE,,Raghu sirr killledddd itt mannnnBest one till nowwlaughedd alotttt:redheart:
1 day ago,https://youtu.be/EsgRP95_ZF0?feature=shared,0,@Brandtheme,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,waah,0,@Parth999OP,FALSE,FALSE,FALSE,FALSE,,FALSE,,waah
1 day ago,Sponsors ka itna noddles kha gaye k paisa hi nahi milega😂,0,@shahidshaikh5918,FALSE,FALSE,FALSE,FALSE,,FALSE,,Sponsors ka itna noddles kha gaye k paisa hi nahi milega:facewithtearsofjoy:
1 day ago,Samay bhy yaar add thoda kam kardo... It's a request!,0,@1inabillion48,FALSE,FALSE,FALSE,FALSE,,FALSE,,Samay bhy yaar add thoda kam kardo Its a request
1 day ago,"Bhai is taklu ko mt bulaya kro, show khrab krdiya",0,@gclub_ridersofayodhya,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai is taklu ko mt bulaya kro show khrab krdiya
1 day ago,Fir wahi red shirt,0,@rajatsapra427,FALSE,FALSE,FALSE,FALSE,,TRUE,1,Fir wahi red shirt
1 day ago,Mast,0,@ROYSHORTS,FALSE,FALSE,FALSE,FALSE,,TRUE,0,Mast
1 day ago,Raghu,0,@AnkitKushwaha-q1v,FALSE,FALSE,FALSE,FALSE,,FALSE,,Raghu
1 day ago,1 million 2025 done ✅,0,@user-lr8po9rv9o,FALSE,FALSE,FALSE,FALSE,,FALSE,,1 million 2025 done :checkmarkbutton:
1 day ago,Tanmay transforming into karan Johar,0,@gurudhaybar9739,FALSE,FALSE,FALSE,FALSE,,FALSE,,Tanmay transforming into karan Johar
1 day ago (edited),Here for Dr. Sid Warrier,0,@naazshah4130,FALSE,FALSE,FALSE,FALSE,,FALSE,,Here for Dr Sid Warrier
1 day ago,Ye Nashik se Vidit kyu aya thha?,0,@adityajoshi7,FALSE,FALSE,FALSE,FALSE,,FALSE,,Ye Nashik se Vidit kyu aya thha
